"INSTRUMENT TYPE 
","SYMBOL 
","EXPIRY DATE 
","OPTION TYPE 
","STRIKE PRICE 
","LTP 
","%CHNG 
","VOLUME 
(Contracts)","VALUE* 
(₹ Lakhs)","OPEN INTEREST 
(Contracts)","VALUE OF UNDERLYING 
"
"Index Options","NIFTY","11-Aug-2026","Put","24,600.00","104.50","20.88","51,56,643","4,26,116.62","1,17,709","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Call","24,600.00","109.65","-37.16","47,43,018","3,72,175.14","1,84,330","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Put","24,500.00","63.45","16.42","43,13,484","2,36,413.43","1,12,685","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Put","24,550.00","82.25","19.03","40,67,445","2,77,682.44","53,021","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Call","24,700.00","66.35","-44.15","27,49,988","1,40,622.01","1,54,059","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Call","24,550.00","137.00","-33.94","24,55,353","2,28,256.98","59,052","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Call","24,650.00","86.05","-40.76","24,42,869","1,57,293.89","93,160","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Put","24,400.00","36.40","9.64","21,24,203","71,867.10","84,113","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Call","24,800.00","37.40","-51.02","20,48,001","62,140.45","1,39,921","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Call","24,500.00","167.85","-30.78","18,58,373","2,10,339.02","60,097","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Put","24,450.00","49.50","16.33","16,97,295","73,144.93","36,324","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Put","24,650.00","131.85","23.17","16,70,473","1,66,769.17","30,452","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Put","24,300.00","19.50","-3.47","16,60,825","33,087.79","93,613","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Call","25,000.00","10.60","-59.07","16,30,908","16,929.64","1,74,429","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Put","24,700.00","161.60","23.97","13,42,511","1,60,154.18","35,747","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Call","24,750.00","50.20","-47.87","13,03,522","51,752.43","61,714","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Call","24,900.00","20.10","-55.82","12,79,098","22,423.23","1,17,556","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Put","24,200.00","10.20","-15.00","12,43,456","14,281.71","1,00,008","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Put","24,350.00","26.70","4.71","10,55,127","27,632.19","33,957","24,570.65"
"Index Options","NIFTY","11-Aug-2026","Put","24,000.00","3.55","-29.00","10,29,411","4,161.91","1,59,069","24,570.65"
