"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 07-Aug-2026","1W AGO 
 31-Jul-2026","1M AGO 
 07-Jul-2026","1Y AGO 
 06-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY PRIVATE BANK","27,392.35","-1.04","27,597.25","27,656.40","27,357.25","-","27,679.90","27,392.35","27,522.65","28,305.35","26,850.65","29,748.45","23,957.45",-3.23,1.83
"NIFTY REALTY","885.95","-0.10","884.20","893.20","883.85","-","886.85","885.95","901.45","892.60","894.15","974.50","638.65",-0.75,-0.79
"NIFTY HEALTHCARE INDEX","16,708.90","0.07","16,681.70","16,739.45","16,622.30","-","16,696.70","16,708.90","16,755.50","16,343.90","14,223.35","16,921.05","13,536.50",2.23,16.77
"NIFTY CONSUMER DURABLES","40,089.90","-0.72","40,330.65","40,543.10","39,823.05","-","40,381.40","40,089.90","40,072.15","37,709.30","38,134.80","40,631.50","32,587.95",6.31,4.72
"NIFTY OIL & GAS","11,312.20","0.07","11,276.50","11,344.45","11,238.95","-","11,304.30","11,312.20","11,247.70","11,248.90","11,018.15","12,445.70","10,580.95",0.56,2.86
"NIFTY MIDSMALL HEALTHCARE","52,646.45","1.00","52,019.40","52,784.35","51,917.05","-","52,126.30","52,646.45","51,754.10","50,565.80","43,853.15","52,784.35","40,352.90",4.11,19.15
"NIFTY FINANCIAL SERVICES EX-BANK","32,415.00","-1.91","32,787.80","32,787.80","32,371.40","-","33,045.35","32,415.00","32,793.45","32,232.75","29,011.45","33,301.05","26,788.05",0.57,11.32
"NIFTY MIDSMALL FINANCIAL SERVICES","22,294.60","-0.27","22,310.00","22,394.95","22,243.50","-","22,354.85","22,294.60","22,312.30","22,340.90","17,728.75","22,772.50","17,421.50",-0.21,24.41
"NIFTY MIDSMALL IT & TELECOM","9,853.45","0.92","9,764.95","9,885.60","9,756.05","-","9,763.20","9,853.45","9,681.75","9,396.35","9,317.05","10,591.60","7,748.35",4.86,4.97
"NIFTY CHEMICALS","30,585.20","-0.67","30,744.40","30,907.75","30,503.10","-","30,791.80","30,585.20","30,096.25","29,948.40","30,847.14","31,895.45","24,851.65",2.13,0.33
"NIFTY500 HEALTHCARE","21,734.00","0.28","21,640.90","21,760.90","21,605.60","-","21,673.15","21,734.00","21,622.55","21,140.35","-","21,820.70","16,294.60",2.81,0
"NIFTY REITS & REALTY","1,938.60","0.19","1,933.20","1,942.50","1,932.85","-","1,934.90","1,938.60","1,945.70","1,934.85","-","2,012.90","1,632.55",0.19,0
"NIFTY CEMENT","15,442.10","0.14","15,432.10","15,451.00","15,292.90","-","15,420.95","15,442.10","15,207.75","15,266.00","-","18,188.60","13,534.80",1.15,0
"NIFTY DIVIDEND OPPORTUNITIES 50","6,062.75","0.54","6,018.80","6,072.65","6,015.95","-","6,030.30","6,062.75","5,939.10","5,816.60","5,817.75","6,584.65","5,614.00",4.23,4.03
"NIFTY GROWTH SECTORS 15","11,824.25","0.76","11,705.45","11,847.50","11,700.40","-","11,734.65","11,824.25","11,655.75","11,032.95","11,260.20","12,852.45","10,329.35",7.17,4.6
"NIFTY100 QUALITY 30","5,787.70","0.49","5,750.85","5,803.00","5,750.60","-","5,759.40","5,787.70","5,674.20","5,558.25","5,447.50","-","-",4.13,5.7
"NIFTY50 VALUE 20","12,130.60","0.05","12,085.85","12,157.10","12,083.50","-","12,124.00","12,130.60","11,980.35","12,092.95","12,337.00","13,684.40","11,528.60",0.31,-1.86
"NIFTY50 TR 2X LEVERAGE","18,917.50","-0.51","18,868.50","19,008.80","18,843.80","-","19,013.55","18,917.50","18,618.50","18,671.35","19,810.25","31,895.45","1,056.45",1.32,-4.66
"NIFTY50 PR 2X LEVERAGE","12,417.80","-0.54","12,385.65","12,477.75","12,369.40","-","12,485.75","12,417.80","12,244.60","12,314.85","13,319.00","31,895.45","1,056.45",0.84,-6.92
"NIFTY50 TR 1X INVERSE","175.25","0.26","175.45","175.55","174.80","-","174.80","175.25","176.65","176.40","171.25","31,895.45","161.80",-0.65,2.4
"NIFTY50 PR 1X INVERSE","215.90","0.28","216.20","216.35","215.40","-","215.30","215.90","217.45","216.80","208.65","31,895.45","197.80",-0.42,3.55
"NIFTY50 DIVIDEND POINTS","187.24","2.64","187.24","187.24","187.24","-","182.42","187.24","163.64","128.89","173.24","-","-",45.27,8.08
"NIFTY ALPHA 50","56,016.95","0.28","55,769.30","56,147.30","55,654.90","-","55,859.05","56,016.95","54,236.25","53,366.95","50,946.95","-","-",4.97,9.46
"NIFTY50 EQUAL WEIGHT","33,696.45","-0.18","33,639.65","33,767.20","33,596.00","-","33,756.40","33,696.45","33,391.95","33,045.50","30,837.25","-","-",1.97,9.11
"NIFTY100 EQUAL WEIGHT","35,604.85","0.05","35,529.05","35,664.75","35,508.45","-","35,587.50","35,604.85","35,174.50","34,668.95","32,008.70","-","-",2.7,11.02
"NIFTY100 LOW VOLATILITY 30","20,691.55","-0.10","20,660.65","20,758.30","20,649.05","-","20,712.00","20,691.55","20,570.85","20,236.45","19,729.90","-","-",2.25,4.42
"NIFTY200 QUALITY 30","21,020.40","0.70","20,865.45","21,065.95","20,864.80","-","20,874.45","21,020.40","20,613.65","20,128.75","20,144.00","-","-",4.43,3.92
"NIFTY ALPHA LOW-VOLATILITY 30","27,657.45","0.13","27,571.10","27,668.80","27,555.05","-","27,622.50","27,657.45","27,460.60","26,971.60","25,929.35","-","-",2.54,6.22
"NIFTY200 MOMENTUM 30","31,040.20","0.40","30,882.15","31,086.65","30,835.90","-","30,917.00","31,040.20","30,600.95","30,285.10","30,048.45","-","-",2.49,2.97
"NIFTY MIDCAP150 QUALITY 50","24,834.25","0.28","24,720.35","24,894.00","24,719.95","-","24,764.95","24,834.25","24,475.65","24,074.85","24,031.95","-","-",3.15,3.21
"NIFTY200 ALPHA 30","26,602.15","0.18","26,529.05","26,660.40","26,456.75","-","26,554.85","26,602.15","26,220.65","25,974.35","24,524.85","-","-",2.42,7.59
"NIFTY MIDCAP150 MOMENTUM 50","63,798.35","0.31","63,564.20","63,914.00","63,433.25","-","63,600.35","63,798.35","62,913.45","61,784.00","60,448.90","-","-",3.26,5.14
"NIFTY500 MOMENTUM 50","54,545.15","0.21","54,265.60","54,690.95","54,173.05","-","54,429.55","54,545.15","53,337.25","52,683.75","51,323.00","-","-",3.53,6.13
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","51,830.60","0.40","51,606.40","51,889.20","51,549.30","-","51,622.95","51,830.60","50,904.50","50,214.30","47,967.90","-","-",3.22,7.74
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","48,293.35","-0.12","48,316.85","48,499.35","48,196.25","-","48,349.15","48,293.35","46,941.50","47,155.80","44,981.15","-","-",2.41,7.6
"NIFTY TOP 10 EQUAL WEIGHT","8,765.40","0.09","8,729.45","8,788.50","8,729.45","-","8,757.80","8,765.40","8,662.40","8,644.05","9,390.00","-","-",1.4,-6.73
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","23,331.70","0.11","23,274.25","23,399.45","23,259.25","-","23,306.80","23,331.70","23,277.35","23,078.10","21,758.40","-","-",1.1,6.8
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","20,781.25","0.64","20,614.70","20,784.75","20,614.65","-","20,649.30","20,781.25","20,544.15","20,325.30","20,063.40","-","-",2.24,3.09
"NIFTY HIGH BETA 50","4,510.10","-0.02","4,503.85","4,526.10","4,492.65","-","4,510.90","4,510.10","4,440.75","4,377.10","3,617.50","-","-",3.04,24.92
"NIFTY LOW VOLATILITY 50","25,206.55","-0.12","25,184.25","25,295.30","25,141.85","-","25,237.70","25,206.55","25,081.25","24,806.35","24,457.90","-","-",1.61,2.72
"NIFTY QUALITY LOW-VOLATILITY 30","17,019.45","0.09","16,968.85","17,087.40","16,968.40","-","17,004.55","17,019.45","16,963.85","16,670.95","16,716.85","-","-",2.09,1.47
"NIFTY SMALLCAP250 QUALITY 50","25,671.10","-0.49","25,784.15","25,832.25","25,631.95","-","25,796.50","25,671.10","25,373.20","25,090.50","26,542.25","-","-",2.31,-3.53
"NIFTY TOP 15 EQUAL WEIGHT","10,037.00","-0.07","9,986.70","10,055.00","9,982.05","-","10,044.25","10,037.00","9,946.65","9,879.25","10,062.95","-","-",1.6,-0.3
"NIFTY100 ALPHA 30","18,588.55","0.85","18,393.95","18,588.55","18,384.80","-","18,432.65","18,588.55","18,103.20","18,126.00","17,974.05","-","-",2.55,3.13
"NIFTY200 VALUE 30","15,358.45","0.46","15,245.25","15,358.45","15,227.15","-","15,288.00","15,358.45","15,131.20","15,120.65","12,734.95","-","-",1.57,20.76
"NIFTY500 EQUAL WEIGHT","15,181.25","0.03","15,157.30","15,205.25","15,143.20","-","15,176.55","15,181.25","14,932.65","14,862.95","14,001.75","-","-",2.14,8.5
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","41,377.20","0.10","41,299.00","41,431.10","41,234.40","-","41,337.30","41,377.20","40,728.75","40,969.95","40,704.75","-","-",0.99,1.44
"NIFTY500 VALUE 50","16,450.05","0.61","16,314.15","16,451.95","16,298.20","-","16,350.55","16,450.05","16,147.85","16,107.85","13,756.50","-","-",2.12,19.67
"NIFTY TOP 20 EQUAL WEIGHT","9,049.80","-0.10","9,013.15","9,070.55","9,009.30","-","9,058.45","9,049.80","8,974.80","8,800.55","8,925.15","-","-",2.83,1.33
"NIFTY500 QUALITY 50","20,025.95","0.22","19,978.80","20,099.05","19,970.70","-","19,982.60","20,025.95","19,758.85","19,642.00","18,899.95","-","-",1.95,5.83
"NIFTY500 LOW VOLATILITY 50","22,813.65","0.17","22,736.65","22,847.95","22,735.80","-","22,775.35","22,813.65","22,764.90","22,264.30","21,095.95","-","-",2.47,7.72
"NIFTY500 MULTIFACTOR MQVLV 50","31,604.20","0.23","31,502.80","31,614.25","31,461.20","-","31,532.30","31,604.20","31,290.85","31,039.65","30,087.35","-","-",1.82,5.14
"NIFTY50 USD","8,942.10","-0.24","8,964.40","8,964.40","8,897.40","-","8,964.42","8,942.06","8,854.92","8,902.16","-","-","-",0.45,-7.98
"NIFTY500 FLEXICAP QUALITY 30","10,241.45","0.10","10,222.20","10,283.45","10,218.85","-","10,230.90","10,241.45","10,141.50","9,816.90","-","-","-",4.32,0
"NIFTY TOTAL MARKET MOMENTUM QUALITY 50","44,109.30","0.19","43,995.55","44,154.25","43,956.35","-","44,024.75","44,109.30","43,344.85","43,247.20","-","-","-",1.99,0
"NIFTY COMMODITIES","9,991.65","0.35","9,937.00","9,992.10","9,929.80","-","9,956.40","9,991.65","9,861.75","9,907.65","8,707.10","10,569.65","8,560.60",0.85,14.74
"NIFTY INDIA CONSUMPTION","12,197.35","0.21","12,134.40","12,218.45","12,134.20","-","12,171.65","12,197.35","12,081.85","11,874.35","11,747.75","12,716.20","10,298.50",2.72,3.6
"NIFTY CPSE","6,484.65","0.03","6,481.75","6,510.85","6,461.45","-","6,482.90","6,484.65","6,530.05","6,690.15","6,334.55","7,593.35","6,101.90",-3.07,2.51
"NIFTY ENERGY","38,749.85","0.17","38,676.70","38,902.00","38,611.45","-","38,683.25","38,749.85","38,729.55","39,188.45","34,683.35","41,828.55","32,890.30",-1.12,11.95
"NIFTY INFRASTRUCTURE","9,504.15","0.54","9,425.45","9,504.15","9,425.45","-","9,453.30","9,504.15","9,409.25","9,454.00","9,018.80","9,792.60","8,426.65",0.53,5.65
"NIFTY100 LIQUID 15","7,724.15","-0.50","7,710.10","7,743.40","7,694.30","-","7,762.65","7,724.15","7,598.70","7,531.40","6,870.65","7,785.85","6,565.70",2.56,12.51
"NIFTY MIDCAP LIQUID 15","17,015.85","0.39","16,924.70","17,112.80","16,906.35","-","16,949.40","17,015.85","16,889.05","16,582.65","14,715.25","17,142.65","13,702.75",2.61,14.05
"NIFTY MNC","33,707.10","0.61","33,480.15","33,725.90","33,478.95","-","33,503.80","33,707.10","33,056.15","32,994.35","28,392.90","33,825.60","27,597.20",2.16,18.61
"NIFTY PSE","9,922.35","-0.15","9,924.30","9,964.70","9,886.15","-","9,937.40","9,922.35","9,941.90","9,957.90","9,584.25","10,839.05","9,168.35",-0.36,4
"NIFTY SERVICES SECTOR","31,265.20","-0.66","31,336.45","31,468.70","31,236.80","-","31,474.20","31,265.20","31,268.65","31,338.15","32,312.25","34,549.75","28,232.65",-0.23,-3.36
"NIFTY100 ESG SECTOR LEADERS","4,129.00","-0.35","4,127.85","4,142.55","4,120.35","-","4,143.60","4,129.00","4,113.75","4,104.40","4,115.25","-","-",0.6,0.22
"NIFTY INDIA DIGITAL","8,682.65","0.66","8,604.45","8,711.45","8,603.50","-","8,625.80","8,682.65","8,513.75","8,048.25","8,676.45","9,723.25","7,233.65",7.88,-0.86
"NIFTY100 ESG","5,132.10","-0.22","5,124.85","5,151.80","5,121.65","-","5,143.55","5,132.10","5,090.50","4,984.45","4,831.20","-","-",2.96,6.01
"NIFTY INDIA MANUFACTURING","16,662.45","0.45","16,553.65","16,662.85","16,551.65","-","16,587.60","16,662.45","16,328.90","16,010.75","14,110.05","-","-",4.07,17.93
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","14,801.90","-0.07","14,791.55","14,873.10","14,761.15","-","14,811.80","14,801.90","14,631.30","14,077.60","14,572.10","15,588.85","13,218.65",5.15,1.67
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","17,138.25","0.52","17,013.30","17,141.10","17,011.75","-","17,050.25","17,138.25","16,734.40","16,413.60","14,848.55","17,141.10","14,148.20",4.41,15.31
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14,791.80","0.41","14,690.30","14,794.50","14,688.90","-","14,730.90","14,791.80","14,642.95","14,716.45","13,855.15","14,885.80","12,542.85",0.51,7.01
"NIFTY INDIA DEFENCE","9,732.15","0.68","9,674.30","9,755.05","9,648.60","-","9,666.10","9,732.15","9,331.15","9,482.40","7,836.20","9,784.60","7,184.90",2.63,24.77
"NIFTY INDIA TOURISM","8,162.85","0.55","8,096.45","8,175.80","8,065.40","-","8,118.20","8,162.85","7,872.85","8,254.00","9,074.50","9,452.55","6,502.65",-1.1,-9.83
"NIFTY CAPITAL MARKETS","5,204.50","-0.21","5,212.50","5,251.35","5,189.50","-","5,215.45","5,204.50","5,307.15","5,410.25","4,355.70","5,697.10","4,086.85",-3.8,18.63
"NIFTY EV & NEW AGE AUTOMOTIVE","3,394.70","1.52","3,337.40","3,395.75","3,337.40","-","3,344.00","3,394.70","3,258.55","3,134.90","2,885.55","-","-",8.29,17.55
"NIFTY INDIA NEW AGE CONSUMPTION","12,128.85","-","12,090.05","12,153.95","12,088.60","-","12,129.25","12,128.85","12,012.85","11,753.80","11,570.15","-","-",3.19,4.58
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)","40,108.90","0.84","39,716.95","40,111.70","39,716.95","-","39,774.60","40,108.90","39,356.80","38,808.05","35,636.40","-","-",3.35,12.78
"NIFTY MOBILITY","23,996.30","0.82","23,711.25","24,000.10","23,711.05","-","23,801.05","23,996.30","23,404.85","22,789.10","20,793.75","-","-",5.3,15.28
"NIFTY100 ENHANCED ESG","5,166.65","-0.23","5,159.50","5,186.65","5,156.25","-","5,178.55","5,166.65","5,125.00","5,018.25","4,867.20","-","-",2.96,5.93
"NIFTY CORE HOUSING","16,016.85","0.02","15,997.05","16,017.60","15,914.70","-","16,014.40","16,016.85","15,859.55","15,783.85","15,999.95","16,610.25","12,788.20",1.48,-0.03
"NIFTY HOUSING","12,060.45","-0.28","12,071.00","12,087.05","12,027.00","-","12,094.25","12,060.45","11,999.75","12,106.95","11,357.15","12,244.25","10,358.70",-0.38,5.91
"NIFTY IPO","2,329.70","0.09","2,328.75","2,334.40","2,323.25","-","2,327.60","2,329.70","2,280.25","2,289.80","2,062.15","2,337.60","1,774.60",1.74,12.87
"NIFTY MIDSMALL INDIA CONSUMPTION","19,014.40","0.26","18,945.15","19,060.65","18,923.90","-","18,965.60","19,014.40","19,006.65","18,746.10","19,425.15","20,135.15","15,614.35",1.43,-2.47
"NIFTY NON-CYCLICAL CONSUMER","15,647.30","-0.28","15,656.10","15,712.45","15,583.75","-","15,692.00","15,647.30","15,526.20","15,483.65","16,102.25","16,983.45","13,311.10",1.06,-2.95
"NIFTY RURAL","15,884.60","0.02","15,822.75","15,895.25","15,801.20","-","15,882.15","15,884.60","15,736.85","15,546.80","14,807.15","16,396.40","13,751.35",2.17,7.14
"NIFTY SHARIAH 25","8,225.80","0.83","8,153.40","8,252.80","8,153.10","-","8,158.40","8,225.80","8,126.85","7,872.70","7,998.90","8,562.10","7,196.60",4.49,2.12
"NIFTY TRANSPORTATION & LOGISTICS","26,871.95","0.97","26,516.75","26,877.05","26,515.20","-","26,612.85","26,871.95","26,149.70","25,412.20","23,377.85","26,877.05","21,355.40",5.74,14.85
"NIFTY50 SHARIAH","4,435.10","0.64","4,398.95","4,444.70","4,396.10","-","4,407.00","4,435.10","4,371.85","4,233.00","4,529.75","4,982.45","4,082.25",4.77,-2.29
"NIFTY500 SHARIAH","7,162.05","0.55","7,117.45","7,171.25","7,116.10","-","7,122.95","7,162.05","7,031.80","6,897.30","6,924.05","7,291.95","6,162.95",3.84,3.26
